"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
1.3123917722988e-226,1.3274003334454,0.275,0.119,3.28806634631741e-222,"11","Kctd20"
4.64383022472019e-226,0.96752503501186,0.255,0.102,1.1634652245014e-221,"11","Xaf1"
7.81354513985233e-226,1.098984197399,0.277,0.116,1.9576055993386e-221,"11","Elmo1"
5.93325173198242e-225,1.35557680921421,0.273,0.118,1.48651688893087e-220,"11","Ptpn12"
5.02425417731266e-222,1.13777837551588,0.313,0.144,1.25877664158391e-217,"11","Irf9"
6.96021761930989e-221,0.758193865554029,0.547,0.333,1.7438129223419e-216,"11","Ppp1r12a"
9.88503435023535e-220,0.423002352714415,0.657,0.397,2.47659650610796e-215,"11","Klf6"
1.74752203692798e-218,0.675850674620132,0.49,0.283,4.37824171131937e-214,"11","Pgk1"
8.64415794435057e-215,0.433522119132521,0.947,0.897,2.16570733137759e-210,"11","Btf3"
1.95296534246893e-214,0.949534002213548,0.436,0.24,4.89295936902167e-210,"11","Siva1"
1.0022514938775e-213,1.1774033932149,0.291,0.131,2.51104089276069e-209,"11","Ripk1"
2.25166144796938e-213,1.0377858660671,0.549,0.364,5.64131259174249e-209,"11","Tmpo"
2.05112529981994e-211,0.335679963734685,0.986,0.938,5.13888932616887e-207,"11","Rps17"
1.69287057059147e-210,0.72501193185816,0.651,0.456,4.24131792755986e-206,"11","Pak2"
2.02438153769149e-209,1.18442385790565,0.337,0.168,5.07188550453225e-205,"11","Tor1a"
2.26334908501735e-207,1.19446420419155,0.261,0.112,5.67059479760247e-203,"11","Adam17"
5.89913524570575e-207,1.08547237237282,0.367,0.19,1.47796934445912e-202,"11","Sap30"
2.29918082016456e-206,1.05249300651693,0.32,0.152,5.76036762684029e-202,"11","Akr1b3"
1.80112577151245e-205,0.957204214320651,0.455,0.263,4.5125405079473e-201,"11","Cebpz"
3.65287171430103e-205,0.808552327383653,0.561,0.355,9.15190479300981e-201,"11","2410006H16Rik"
9.79610229043772e-204,1.02829133761034,0.263,0.114,2.45431546784627e-199,"11","Lpar6"
2.30154399662244e-203,0.831583970631873,0.377,0.191,5.76628832913786e-199,"11","Pold4"
1.16415290179898e-202,0.993596632427545,0.324,0.155,2.91666868016717e-198,"11","Crlf3"
2.90752998790285e-202,1.04493304100854,0.411,0.23,7.28452563169179e-198,"11","Cdc40"
5.45389391092211e-201,0.754941040207072,0.566,0.361,1.36641858044243e-196,"11","Tut7"
2.34977879416131e-200,0.877579615033312,0.445,0.253,5.88713579089174e-196,"11","Arhgap17"
2.71752795114578e-199,1.27047844921042,0.256,0.112,6.80849452880063e-195,"11","Coro1c"
